Node,Disp_X,Disp_Y,Disp_Z,Rot_X,Rot_Y,Rot_Z
67,3.270471819344131,-3.9050505886300374e-07,-7.731964936995683,5.590825535748132e-08,0.8282512312641833,1.2741549752739092e-09
68,3.308919860653105,-3.849790759204969e-07,-13.821920380127834,5.383292463725433e-08,0.5111282526376959,1.7868199589592381e-09
69,3.3865562766197246,-3.7564224991212256e-07,-10.862431731477413,5.376881704131653e-08,0.07492526642896259,2.55656318727844e-09
70,3.270471817756617,-1.4144864197061345e-06,-5.834231020268783,1.990059082622159e-07,0.7186323445339234,6.246168320531761e-10
71,3.3089198543816996,-1.4105768115078197e-06,-10.808904707132264,1.9842026968507683e-07,0.4769576510243174,1.0847083657817609e-09
72,3.3865562632766903,-1.4058394497373778e-06,-8.353479419665275,1.9985539847376263e-07,0.1503343481267197,1.8971469400287605e-09
73,3.270471816352101,-9.196293042284956e-07,-2.991336781920911,1.2904832526866505e-07,0.5654217285898208,7.884186201764206e-10
74,3.308919851576407,-9.163546025264539e-07,-6.162345046870666,1.2880179237338542e-07,0.46581866063469024,9.009249016828034e-10
75,3.386556257963732,-9.128774930671915e-07,-4.546482733047859,1.3027229465581057e-07,0.2922316823408988,1.2896928723940725e-09
76,4.886137705999405,1.3670811676134964e-06,-4.532255514773236,-1.4176688719827314e-07,1.0003873114378659,5.115678101684253e-09
77,4.771018137868739,1.3842719897985545e-06,-8.845866991489977,-1.4676032916879323e-07,0.591974757799093,5.529625802513699e-09
78,4.545316481941938,1.4104669515340341e-06,-6.679052727938438,-1.4930106064393816e-07,-0.21405147516738776,5.62750157089565e-09
79,4.886137683317708,1.0787708691324641e-06,-8.109745007665458,-1.1232582724366265e-07,1.444944488785321,5.760729458998987e-09
80,4.771018112002804,1.09640603919476e-06,-14.525974299410969,-1.1814200091709725e-07,0.691665096216839,5.183684928894519e-09
81,4.545316455435585,1.1169361846857543e-06,-11.404758723104855,-1.192432521895087e-07,-0.5654039050955784,3.5811557715429558e-09
82,4.886137650122571,-5.661298394462233e-07,-8.249571501596709,6.04460229337224e-08,1.4691945397545325,6.9175487158171685e-09
83,4.771018089319891,-5.512274451809468e-07,-14.750666799060745,5.786104772803767e-08,0.707146790562289,3.746290961580098e-09
84,4.545316450734856,-5.440788609416161e-07,-11.59002847878494,5.83894464153954e-08,-0.5736817795657365,-1.2557847626145553e-09
85,4.886137611166368,-2.0355912004318922e-06,-6.222057128115529,2.134335729505414e-07,1.2112704679632869,5.3948892301921676e-09
86,4.771018073732045,-2.027444869799379e-06,-11.528359679675399,2.1479316901471038e-07,0.6213034897560625,1.6663986966125334e-09
87,4.545316469148601,-2.030262678694145e-06,-8.908532951255857,2.1608914810761565e-07,-0.4001588419515359,-3.731397118706847e-09
88,4.886137595924828,-1.3221102843350926e-06,-3.199557144995277,1.3831130582677117e-07,0.8285978707643948,3.5417501167461356e-09
89,4.771018069455427,-1.316838547732415e-06,-6.593621125571564,1.3947570797211517e-07,0.5582368670383214,9.513848931815428e-10
90,4.5453164806525574,-1.3201116743106697e-06,-4.86403689389908,1.4099435714933635e-07,-0.07307545402665845,-2.975535925609204e-09
