Elemento,Tipo,Nodo_I,Nodo_J,X_I,Y_I,Z_I,X_J,Y_J,Z_J,Longitud,N_I,Vy_I,Vz_I,T_I,My_I,Mz_I,N_Centro,Vy_Centro,Vz_Centro,T_Centro,My_Centro,Mz_Centro,N_J,Vy_J,Vz_J,T_J,My_J,Mz_J
100,Viga_Y,42,43,5.0000,5.0000,7.0000,5.0000,10.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
101,Viga_Y,43,44,5.0000,10.0000,7.0000,5.0000,15.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
102,Viga_Y,44,45,5.0000,15.0000,7.0000,5.0000,18.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
103,Viga_Y,47,48,10.0000,0.0000,7.0000,10.0000,5.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
104,Viga_Y,48,49,10.0000,5.0000,7.0000,10.0000,10.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
105,Viga_Y,49,50,10.0000,10.0000,7.0000,10.0000,15.0000,7.0000,5.0000,,,,,,,,,,,,,,,,,,
106,Viga_Y,50,51,10.0000,15.0000,7.0000,10.0000,18.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
119,Viga_Y,53,54,0.0000,0.0000,10.0000,0.0000,5.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
120,Viga_Y,54,55,0.0000,5.0000,10.0000,0.0000,10.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
121,Viga_Y,55,56,0.0000,10.0000,10.0000,0.0000,15.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
122,Viga_Y,56,57,0.0000,15.0000,10.0000,0.0000,18.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
123,Viga_Y,59,60,5.0000,0.0000,10.0000,5.0000,5.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
124,Viga_Y,60,61,5.0000,5.0000,10.0000,5.0000,10.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
125,Viga_Y,61,62,5.0000,10.0000,10.0000,5.0000,15.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
126,Viga_Y,62,63,5.0000,15.0000,10.0000,5.0000,18.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
127,Viga_Y,65,66,10.0000,0.0000,10.0000,10.0000,5.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
128,Viga_Y,66,67,10.0000,5.0000,10.0000,10.0000,10.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
129,Viga_Y,67,68,10.0000,10.0000,10.0000,10.0000,15.0000,10.0000,5.0000,,,,,,,,,,,,,,,,,,
130,Viga_Y,68,69,10.0000,15.0000,10.0000,10.0000,18.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
143,Viga_Y,71,72,0.0000,0.0000,13.0000,0.0000,5.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
144,Viga_Y,72,73,0.0000,5.0000,13.0000,0.0000,10.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
145,Viga_Y,73,74,0.0000,10.0000,13.0000,0.0000,15.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
146,Viga_Y,74,75,0.0000,15.0000,13.0000,0.0000,18.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
147,Viga_Y,77,78,5.0000,0.0000,13.0000,5.0000,5.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
148,Viga_Y,78,79,5.0000,5.0000,13.0000,5.0000,10.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
149,Viga_Y,79,80,5.0000,10.0000,13.0000,5.0000,15.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
150,Viga_Y,80,81,5.0000,15.0000,13.0000,5.0000,18.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
151,Viga_Y,83,84,10.0000,0.0000,13.0000,10.0000,5.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
152,Viga_Y,84,85,10.0000,5.0000,13.0000,10.0000,10.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
153,Viga_Y,85,86,10.0000,10.0000,13.0000,10.0000,15.0000,13.0000,5.0000,,,,,,,,,,,,,,,,,,
154,Viga_Y,86,87,10.0000,15.0000,13.0000,10.0000,18.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
