Elemento,Tipo,Nodo_I,Nodo_J,X_I,Y_I,Z_I,X_J,Y_J,Z_J,Longitud,N_I,Vy_I,Vz_I,T_I,My_I,Mz_I,N_Centro,Vy_Centro,Vz_Centro,T_Centro,My_Centro,Mz_Centro,N_J,Vy_J,Vz_J,T_J,My_J,Mz_J
70,Viga_X,45,46,0.0000,13.0000,6.0000,5.0000,13.0000,6.0000,5.0000,-1.5478,-0.1630,4.1377,-0.0000,-4.0725,-0.8307,0.0000,0.0000,3.7500,0.0000,-0.9692,-0.4076,1.5478,0.1630,3.3623,0.0000,2.1342,0.0156
71,Viga_X,46,47,5.0000,13.0000,6.0000,11.0000,13.0000,6.0000,6.0000,-2.8955,0.0000,4.5000,0.0000,-4.3998,-1.0408,0.0000,0.0000,4.5000,0.0000,-0.0000,0.0000,2.8955,-0.0000,4.5000,-0.0000,4.3998,1.0408
72,Viga_X,47,48,11.0000,13.0000,6.0000,16.0000,13.0000,6.0000,5.0000,-1.5478,0.1630,3.3623,0.0000,-2.1342,-0.0156,0.0000,0.0000,3.7500,0.0000,0.9692,0.4076,1.5478,-0.1630,4.1377,-0.0000,4.0725,0.8307
73,Viga_X,49,50,0.0000,0.0000,9.0000,5.0000,0.0000,9.0000,5.0000,4.7882,-2.7949,4.0072,0.0000,-3.6894,-5.3430,0.0000,0.0000,3.7500,0.0000,-0.6429,-6.9872,-4.7882,2.7949,3.4928,-0.0000,2.4036,-8.6315
74,Viga_X,50,51,5.0000,0.0000,9.0000,11.0000,0.0000,9.0000,6.0000,8.7615,0.0000,4.5000,0.0000,-4.2771,4.2296,0.0000,0.0000,4.5000,0.0000,-0.0000,0.0000,-8.7615,-0.0000,4.5000,-0.0000,4.2771,-4.2296
75,Viga_X,51,52,11.0000,0.0000,9.0000,16.0000,0.0000,9.0000,5.0000,4.7882,2.7949,3.4928,-0.0000,-2.4036,8.6315,0.0000,0.0000,3.7500,0.0000,0.6429,6.9872,-4.7882,-2.7949,4.0072,0.0000,3.6894,5.3430
76,Viga_X,53,54,0.0000,4.0000,9.0000,5.0000,4.0000,9.0000,5.0000,4.7882,-3.0177,4.2600,0.0000,-4.3164,-6.6239,0.0000,0.0000,3.7500,0.0000,-1.2751,-7.5443,-4.7882,3.0177,3.2400,-0.0000,1.7663,-8.4646
77,Viga_X,54,55,5.0000,4.0000,9.0000,11.0000,4.0000,9.0000,6.0000,8.7615,0.0000,4.5000,0.0000,-4.0705,2.8127,0.0000,0.0000,4.5000,0.0000,-0.0000,0.0000,-8.7615,-0.0000,4.5000,-0.0000,4.0705,-2.8127
78,Viga_X,55,56,11.0000,4.0000,9.0000,16.0000,4.0000,9.0000,5.0000,4.7882,3.0177,3.2400,-0.0000,-1.7663,8.4646,0.0000,0.0000,3.7500,0.0000,1.2751,7.5443,-4.7882,-3.0177,4.2600,0.0000,4.3164,6.6239
79,Viga_X,57,58,0.0000,9.0000,9.0000,5.0000,9.0000,9.0000,5.0000,4.7882,3.0177,4.2600,-0.0000,-4.3164,6.6239,0.0000,0.0000,3.7500,0.0000,-1.2751,7.5443,-4.7882,-3.0177,3.2400,0.0000,1.7663,8.4646
80,Viga_X,58,59,5.0000,9.0000,9.0000,11.0000,9.0000,9.0000,6.0000,8.7615,0.0000,4.5000,0.0000,-4.0705,-2.8127,0.0000,0.0000,4.5000,0.0000,-0.0000,0.0000,-8.7615,-0.0000,4.5000,-0.0000,4.0705,2.8127
81,Viga_X,59,60,11.0000,9.0000,9.0000,16.0000,9.0000,9.0000,5.0000,4.7882,-3.0177,3.2400,0.0000,-1.7663,-8.4646,0.0000,0.0000,3.7500,0.0000,1.2751,-7.5443,-4.7882,3.0177,4.2600,-0.0000,4.3164,-6.6239
82,Viga_X,61,62,0.0000,13.0000,9.0000,5.0000,13.0000,9.0000,5.0000,4.7882,2.7949,4.0072,-0.0000,-3.6894,5.3430,0.0000,0.0000,3.7500,0.0000,-0.6429,6.9872,-4.7882,-2.7949,3.4928,0.0000,2.4036,8.6315
83,Viga_X,62,63,5.0000,13.0000,9.0000,11.0000,13.0000,9.0000,6.0000,8.7615,0.0000,4.5000,0.0000,-4.2771,-4.2296,0.0000,0.0000,4.5000,0.0000,-0.0000,0.0000,-8.7615,-0.0000,4.5000,-0.0000,4.2771,4.2296
84,Viga_X,63,64,11.0000,13.0000,9.0000,16.0000,13.0000,9.0000,5.0000,4.7882,-2.7949,3.4928,0.0000,-2.4036,-8.6315,0.0000,0.0000,3.7500,0.0000,0.6429,-6.9872,-4.7882,2.7949,4.0072,-0.0000,3.6894,-5.3430
121,Viga_X,17,18,0.0000,0.0000,3.0000,5.0000,0.0000,3.0000,5.0000,-0.0898,-0.0225,2.8374,3.8448,-2.2874,0.0000,0.0000,-0.0225,2.1528,4.3057,-2.2874,0.0000,0.0898,-0.0225,1.4683,4.7665,-2.2874,0.0000
122,Viga_X,18,19,5.0000,0.0000,3.0000,11.0000,0.0000,3.0000,6.0000,-0.1707,-0.0512,3.4129,6.8259,0.0000,-0.0000,-0.0000,-0.0512,3.4129,6.8259,-0.0000,0.0000,0.1707,-0.0512,3.4129,6.8259,-0.0000,0.0000
123,Viga_X,19,20,11.0000,0.0000,3.0000,16.0000,0.0000,3.0000,5.0000,-0.0898,-0.0225,1.4683,4.7665,2.2874,-0.0000,-0.0000,-0.0225,2.1528,4.3057,2.2874,-0.0000,0.0898,-0.0225,2.8374,3.8448,2.2874,-0.0000
124,Viga_X,21,22,0.0000,4.0000,3.0000,5.0000,4.0000,3.0000,5.0000,-0.1123,-0.0225,1.5930,-0.0000,-3.9824,0.0000,0.0000,-0.0225,-0.0000,-0.0000,-3.9824,0.0000,0.1123,-0.0225,-1.5930,-0.0000,-3.9824,0.0000
125,Viga_X,22,23,5.0000,4.0000,3.0000,11.0000,4.0000,3.0000,6.0000,-0.2134,-0.0512,0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0512,0.0000,-0.0000,-0.0000,0.0000,0.2134,-0.0512,-0.0000,-0.0000,-0.0000,0.0000
126,Viga_X,23,24,11.0000,4.0000,3.0000,16.0000,4.0000,3.0000,5.0000,-0.1123,-0.0225,-1.5930,-0.0000,3.9824,-0.0000,0.0000,-0.0225,0.0000,-0.0000,3.9824,-0.0000,0.1123,-0.0225,1.5930,-0.0000,3.9824,-0.0000
127,Viga_X,25,26,0.0000,9.0000,3.0000,5.0000,9.0000,3.0000,5.0000,-0.0898,-0.0225,-0.8277,-3.8448,-2.7367,-0.0000,-0.0000,-0.0225,-2.1528,-4.3057,-2.7367,-0.0000,0.0898,-0.0225,-3.4779,-4.7665,-2.7367,-0.0000
128,Viga_X,26,27,5.0000,9.0000,3.0000,11.0000,9.0000,3.0000,6.0000,-0.1707,-0.0512,-3.4129,-6.8259,0.0000,0.0000,0.0000,-0.0512,-3.4129,-6.8259,-0.0000,-0.0000,0.1707,-0.0512,-3.4129,-6.8259,-0.0000,-0.0000
